epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
83,25168.7,0.64182,0.50773,1.02643,0.97077,0.96559,0.97726,0.8858,0.53749,0.30935,0.89902,0.004588,0.004588,0.004588
84,25471,0.63769,0.50072,1.02491,0.97698,0.9578,0.97736,0.88481,0.53595,0.30548,0.89813,0.004522,0.004522,0.004522
85,25773.7,0.64442,0.50137,1.02482,0.97862,0.9561,0.97741,0.88509,0.53706,0.30267,0.89938,0.004456,0.004456,0.004456
86,26076.9,0.63371,0.48317,1.01811,0.97654,0.95719,0.9774,0.88584,0.53916,0.30681,0.89993,0.00439,0.00439,0.00439
87,26379.5,0.62753,0.48859,1.01736,0.97552,0.96014,0.97711,0.88819,0.53681,0.30516,0.89968,0.004324,0.004324,0.004324
88,26682.3,0.62041,0.48279,1.00918,0.97368,0.96039,0.97681,0.89006,0.53457,0.3032,0.89835,0.004258,0.004258,0.004258
89,26984.8,0.62011,0.48474,1.01113,0.96911,0.96432,0.9772,0.89021,0.53193,0.30353,0.89643,0.004192,0.004192,0.004192
90,27287.1,0.61526,0.47788,1.00826,0.97785,0.96039,0.97768,0.88978,0.53183,0.30381,0.89642,0.004126,0.004126,0.004126
91,27589.6,0.60589,0.46743,1.00718,0.97664,0.96039,0.97753,0.89,0.53072,0.30102,0.89483,0.00406,0.00406,0.00406
92,27892.3,0.609,0.47679,1.00538,0.97835,0.95859,0.97762,0.89164,0.5292,0.30188,0.89361,0.003994,0.003994,0.003994
93,28194.5,0.60931,0.47624,1.00629,0.97936,0.95685,0.97727,0.89269,0.52867,0.30215,0.89334,0.003928,0.003928,0.003928
94,28497.2,0.60505,0.46417,1.00564,0.97703,0.9573,0.97765,0.89288,0.5283,0.30212,0.89408,0.003862,0.003862,0.003862
95,28799.5,0.60874,0.46012,1.0034,0.97731,0.95692,0.97703,0.89197,0.52636,0.30018,0.89394,0.003796,0.003796,0.003796
96,29102.1,0.59347,0.46179,0.99694,0.97128,0.95836,0.97703,0.89078,0.52609,0.3003,0.8938,0.00373,0.00373,0.00373
97,29404.6,0.59635,0.45734,0.99822,0.97578,0.96019,0.97717,0.89108,0.52468,0.29714,0.89319,0.003664,0.003664,0.003664
98,29707.2,0.5992,0.46546,0.99818,0.9754,0.96058,0.97702,0.89243,0.52282,0.29476,0.89212,0.003598,0.003598,0.003598
99,30010.1,0.59097,0.45149,0.99561,0.97572,0.96017,0.9769,0.8924,0.51963,0.29335,0.89062,0.003532,0.003532,0.003532
100,30313.1,0.59545,0.45384,1.00042,0.97626,0.95999,0.9767,0.89314,0.51745,0.29173,0.88975,0.003466,0.003466,0.003466
101,30616.8,0.58257,0.4515,0.99343,0.97722,0.95984,0.97656,0.8945,0.51783,0.29225,0.8897,0.0034,0.0034,0.0034
102,30919.7,0.58431,0.44621,0.99281,0.97699,0.95984,0.97645,0.89381,0.51624,0.29202,0.88915,0.003334,0.003334,0.003334
103,31222.3,0.57472,0.44475,0.99005,0.97728,0.95975,0.9764,0.89345,0.51493,0.29121,0.88876,0.003268,0.003268,0.003268
104,31526.2,0.57937,0.44486,0.99286,0.97561,0.95965,0.97739,0.89388,0.51479,0.29107,0.88838,0.003202,0.003202,0.003202
105,31828.3,0.57196,0.43912,0.99012,0.97517,0.95968,0.97742,0.89428,0.51334,0.28996,0.88748,0.003136,0.003136,0.003136
106,32130.7,0.57203,0.43143,0.9858,0.97589,0.95964,0.97736,0.89555,0.51254,0.28888,0.88722,0.00307,0.00307,0.00307
107,32433.8,0.57237,0.4383,0.99007,0.97655,0.95942,0.9771,0.89533,0.51181,0.28932,0.88699,0.003004,0.003004,0.003004
108,32736.6,0.56328,0.4412,0.98633,0.97155,0.96345,0.97707,0.89621,0.51151,0.28933,0.88712,0.002938,0.002938,0.002938
109,33039.8,0.55775,0.43081,0.98181,0.97688,0.95694,0.97703,0.89659,0.51162,0.29026,0.88778,0.002872,0.002872,0.002872
110,33342.8,0.56335,0.42311,0.98304,0.97758,0.95689,0.9771,0.89648,0.51191,0.28983,0.88829,0.002806,0.002806,0.002806
111,33645.4,0.55725,0.4251,0.9797,0.97051,0.96504,0.97708,0.89559,0.51125,0.28912,0.88782,0.00274,0.00274,0.00274
112,33948.1,0.55332,0.41978,0.97743,0.97038,0.96519,0.97715,0.89688,0.51047,0.28898,0.88773,0.002674,0.002674,0.002674
113,34250.7,0.54445,0.41231,0.9721,0.97038,0.96505,0.97732,0.89739,0.51144,0.28903,0.88838,0.002608,0.002608,0.002608
114,34553.7,0.54457,0.41621,0.97802,0.97025,0.96513,0.97731,0.89739,0.51185,0.28975,0.88846,0.002542,0.002542,0.002542
115,34856.1,0.54969,0.41659,0.97959,0.97013,0.96548,0.97739,0.89663,0.51206,0.29043,0.8886,0.002476,0.002476,0.002476
116,35157.7,0.54501,0.41647,0.97681,0.97034,0.96461,0.97742,0.8972,0.5122,0.29046,0.88869,0.00241,0.00241,0.00241
117,35460.5,0.54365,0.41776,0.9757,0.97034,0.96492,0.97741,0.89745,0.51212,0.29058,0.88866,0.002344,0.002344,0.002344
118,35763.2,0.53222,0.39978,0.96553,0.97547,0.96039,0.97753,0.89661,0.51215,0.29056,0.88839,0.002278,0.002278,0.002278
119,36066.7,0.54139,0.41277,0.97177,0.97588,0.96039,0.97762,0.89671,0.51134,0.29026,0.88779,0.002212,0.002212,0.002212
120,36369.7,0.52976,0.40105,0.96811,0.97807,0.96039,0.97763,0.89729,0.511,0.29024,0.88716,0.002146,0.002146,0.002146
121,36672.2,0.53071,0.40338,0.96504,0.97799,0.96006,0.97771,0.89665,0.511,0.28922,0.88736,0.00208,0.00208,0.00208
122,36975.5,0.53056,0.40029,0.96709,0.97734,0.95993,0.97777,0.89724,0.51154,0.289,0.88743,0.002014,0.002014,0.002014
123,37278.4,0.52734,0.40154,0.96283,0.97708,0.95973,0.97774,0.89712,0.51158,0.28911,0.88735,0.001948,0.001948,0.001948
124,37581.3,0.52369,0.40069,0.96741,0.97517,0.96363,0.97789,0.89688,0.51121,0.28913,0.8872,0.001882,0.001882,0.001882
125,37884.1,0.5219,0.39193,0.96192,0.97456,0.96428,0.97791,0.89832,0.51042,0.28746,0.88667,0.001816,0.001816,0.001816
126,38187.7,0.51017,0.38993,0.95595,0.97441,0.96421,0.97786,0.89737,0.5099,0.28734,0.88621,0.00175,0.00175,0.00175
